species,genus,family,species:wikidata,leaf_cycle,leaf_type
Abelia × grandiflora,Abelia,Caprifoliaceae,,deciduous,broadleaved
Abies alba,Abies,Pinaceae,Q146992,evergreen,needleleaved
Abies amabilis,Abies,Pinaceae,,evergreen,needleleaved
Abies balsamea,Abies,Pinaceae,Q428023,evergreen,needleleaved
Abies bracteata,Abies,Pinaceae,Q1070125,evergreen,needleleaved
Abies canadensis,Abies,Pinaceae,Q1137143,evergreen,needleleaved
Abies cephalonica,Abies,Pinaceae,Q854892,evergreen,needleleaved
Abies cilicica,Abies,Pinaceae,Q974954,evergreen,needleleaved
Abies concolor,Abies,Pinaceae,Q145939,evergreen,needleleaved
Abies firma,Abies,Pinaceae,,evergreen,needleleaved
Abies fraseri,Abies,Pinaceae,Q1451343,evergreen,needleleaved
Abies grandis,Abies,Pinaceae,Q147434,evergreen,needleleaved
Abies holophylla,Abies,Pinaceae,,evergreen,needleleaved
Abies homolepis,Abies,Pinaceae,,evergreen,needleleaved
Abies intermedia,Abies,Pinaceae,Q428023,evergreen,needleleaved
Abies kawakamii,Abies,Pinaceae,Q716580,evergreen,needleleaved
Abies koreana,Abies,Pinaceae,Q390100,evergreen,needleleaved
Abies lasiocarpa,Abies,Pinaceae,Q978755,evergreen,needleleaved
Abies nebrodensis,Abies,Pinaceae,,evergreen,needleleaved
Abies nephrolepis,Abies,Pinaceae,,evergreen,needleleaved
Abies nordmanniana,Abies,Pinaceae,Q148920,evergreen,needleleaved
Abies numidica,Abies,Pinaceae,,evergreen,needleleaved
Abies pindrow,Abies,Pinaceae,Q1036491,evergreen,needleleaved
Abies pinsapo,Abies,Pinaceae,Q849381,evergreen,needleleaved
Abies procera,Abies,Pinaceae,,evergreen,needleleaved
Abies recurvata,Abies,Pinaceae,Q1936162,evergreen,needleleaved
Abies sachalinensis,Abies,Pinaceae,Q1520125,evergreen,needleleaved
Abies sibirica,Abies,Pinaceae,,evergreen,needleleaved
Abies spectabilis,Abies,Pinaceae,,evergreen,needleleaved
Abies veitchii,Abies,Pinaceae,,evergreen,needleleaved
Abies × vilmorinii,Abies,Pinaceae,,deciduous,needleleaved
Acacia acinacea,Acacia,Fabaceae,,deciduous,broadleaved
Acacia aegyptiaca,Acacia,Fabaceae,,deciduous,broadleaved
Acacia auriculiformis,Acacia,Fabaceae,,evergreen,broadleaved
Acacia baileyana,Acacia,Fabaceae,Q9562555,evergreen,broadleaved
Acacia caven,Acacia,Fabaceae,,evergreen,broadleaved
Acacia dealbata,Acacia,Fabaceae,Q757123,evergreen,broadleaved
Acacia decurrens,Acacia,Fabaceae,,evergreen,broadleaved
Acacia dentifera,Acacia,Fabaceae,,deciduous,broadleaved
Acacia fimbriata,Acacia,Fabaceae,,deciduous,broadleaved
Acacia floribunda,Acacia,Fabaceae,Q3296747,evergreen,broadleaved
Acacia heterophylla,Acacia,Fabaceae,,evergreen,broadleaved
Acacia howittii,Acacia,Fabaceae,,deciduous,broadleaved
Acacia implexa,Acacia,Fabaceae,Q2705505,evergreen,broadleaved
Acacia iteaphylla,Acacia,Fabaceae,Q15287407,evergreen,broadleaved
Acacia longifolia,Acacia,Fabaceae,,deciduous,broadleaved
Acacia mearnsii,Acacia,Fabaceae,Q311430,evergreen,broadleaved
Acacia melanoxylon,Acacia,Fabaceae,Q386585,evergreen,broadleaved
Acacia nilotica,Acacia,Fabaceae,,deciduous,broadleaved
Acacia paradoxa,Acacia,Fabaceae,,deciduous,broadleaved
Acacia pendula,Acacia,Fabaceae,,deciduous,broadleaved
Acacia peuce,Acacia,Fabaceae,,evergreen,broadleaved
Acacia podalyriifolia,Acacia,Fabaceae,,deciduous,broadleaved
Acacia pravissima,Acacia,Fabaceae,,deciduous,broadleaved
Acacia pycnantha,Acacia,Fabaceae,Q516233,evergreen,broadleaved
Acacia raddiana,Acacia,Fabaceae,,deciduous,broadleaved
Acacia retinodes,Acacia,Fabaceae,,evergreen,broadleaved
Acacia rubida,Acacia,Fabaceae,,deciduous,broadleaved
Acacia salicina,Acacia,Fabaceae,,deciduous,broadleaved
Acacia saligna,Acacia,Fabaceae,,deciduous,broadleaved
Acacia sophorae,Acacia,Fabaceae,,deciduous,broadleaved
Acacia ulicifolia,Acacia,Fabaceae,,deciduous,broadleaved
Acacia verniciflua,Acacia,Fabaceae,,deciduous,broadleaved
Acacia verticillata,Acacia,Fabaceae,,deciduous,broadleaved
Acca sellowiana,Acca,Myrtaceae,,evergreen,broadleaved
Acer amoenum,Acer,Sapindaceae,,deciduous,broadleaved
Acer buergerianum,Acer,Sapindaceae,Q941891,deciduous,broadleaved
Acer campestre,Acer,Sapindaceae,Q158785,deciduous,broadleaved
Acer capillipes,Acer,Sapindaceae,Q1089472,deciduous,broadleaved
Acer cappadocicum,Acer,Sapindaceae,Q766133,deciduous,broadleaved
Acer carpinifolium,Acer,Sapindaceae,,deciduous,broadleaved
Acer caudatifolium,Acer,Sapindaceae,,deciduous,broadleaved
Acer circinatum,Acer,Sapindaceae,Q568923,deciduous,broadleaved
Acer cissifolium,Acer,Sapindaceae,,deciduous,broadleaved
Acer davidii,Acer,Sapindaceae,Q657935,deciduous,broadleaved
Acer diabolicum,Acer,Sapindaceae,Q722781,deciduous,broadleaved
Acer fabri,Acer,Sapindaceae,Q7213185,evergreen,broadleaved
Acer floridanum,Acer,Sapindaceae,Q15287442,deciduous,broadleaved
Acer freemanii,Acer,Sapindaceae,Q9577378,deciduous,broadleaved
Acer ginnala,Acer,Sapindaceae,Q162728,deciduous,broadleaved
Acer glabrum,Acer,Sapindaceae,Q540650,deciduous,broadleaved
Acer grandidentatum,Acer,Sapindaceae,Q2702054,deciduous,broadleaved
Acer griseum,Acer,Sapindaceae,Q203985,deciduous,broadleaved
Acer heldreichii,Acer,Sapindaceae,,deciduous,broadleaved
Acer henryi,Acer,Sapindaceae,Q608412,deciduous,broadleaved
Acer hyrcanum,Acer,Sapindaceae,,deciduous,broadleaved
Acer japonicum,Acer,Sapindaceae,Q149269,deciduous,broadleaved
Acer leucoderme,Acer,Sapindaceae,Q4224593,deciduous,broadleaved
Acer lobelii,Acer,Sapindaceae,Q15287726,deciduous,broadleaved
Acer macrophyllum,Acer,Sapindaceae,Q599523,deciduous,broadleaved
Acer maximowiczianum,Acer,Sapindaceae,,deciduous,broadleaved
Acer miyabei,Acer,Sapindaceae,Q660569,deciduous,broadleaved
Acer mono,Acer,Sapindaceae,,deciduous,broadleaved
Acer monspessulanum,Acer,Sapindaceae,Q161388,deciduous,broadleaved
Acer neglectum,Acer,Sapindaceae,Q4673185,deciduous,broadleaved
Acer negundo,Acer,Sapindaceae,Q161166,deciduous,broadleaved
Acer nigrum,Acer,Sapindaceae,Q9578380,deciduous,broadleaved
Acer opalus,Acer,Sapindaceae,Q163822,deciduous,broadleaved
Acer paihengii,Acer,Sapindaceae,,deciduous,broadleaved
Acer palmatum,Acer,Sapindaceae,Q269224,deciduous,broadleaved
Acer pensylvanicum,Acer,Sapindaceae,Q1190312,deciduous,broadleaved
Acer pictum,Acer,Sapindaceae,,deciduous,broadleaved
Acer platanoides,Acer,Sapindaceae,Q26745,deciduous,broadleaved
Acer pseudoplatanus,Acer,Sapindaceae,Q156944,deciduous,broadleaved
Acer pseudosieboldianum,Acer,Sapindaceae,Q1043238,deciduous,broadleaved
Acer pycnanthum,Acer,Sapindaceae,,deciduous,broadleaved
Acer rubrum,Acer,Sapindaceae,Q161364,deciduous,broadleaved
Acer rufinerve,Acer,Sapindaceae,,deciduous,broadleaved
Acer saccharinum,Acer,Sapindaceae,Q158301,deciduous,broadleaved
Acer saccharum,Acer,Sapindaceae,Q214733,deciduous,broadleaved
Acer sempervirens,Acer,Sapindaceae,,deciduous,broadleaved
Acer sieboldianum,Acer,Sapindaceae,,deciduous,broadleaved
Acer spicatum,Acer,Sapindaceae,Q762435,deciduous,broadleaved
Acer tataricum,Acer,Sapindaceae,Q162728,deciduous,broadleaved
Acer tegmentosum,Acer,Sapindaceae,,deciduous,broadleaved
Acer triflorum,Acer,Sapindaceae,Q1257409,deciduous,broadleaved
Acer trifolium,Acer,Sapindaceae,Q161388,deciduous,broadleaved
Acer truncatum,Acer,Sapindaceae,,deciduous,broadleaved
Acer velutinum,Acer,Sapindaceae,,deciduous,broadleaved
Acer zoeschense,Acer,Sapindaceae,Q4673185,deciduous,broadleaved
Acer × freemanii,Acer,Sapindaceae,Q9577378,deciduous,broadleaved
Acer × zoeschense,Acer,Sapindaceae,Q4673185,deciduous,broadleaved
Acmena smithii,Acmena,Myrtaceae,,deciduous,broadleaved
Acoelorraphe wrightii,Acoelorraphe,Arecaceae,,deciduous,palm
Acrocomia aculeata,Acrocomia,Arecaceae,,evergreen,palm
Actinidia chinensis,Actinidia,Actinidiaceae,,deciduous,broadleaved
Actinidia deliciosa,Actinidia,Actinidiaceae,,deciduous,broadleaved
Adansonia digitata,Adansonia,Malvaceae,Q158742,deciduous,broadleaved
Adansonia grandidieri,Adansonia,Malvaceae,,deciduous,broadleaved
Adansonia gregorii,Adansonia,Malvaceae,,deciduous,broadleaved
Adenanthera pavonina,Adenanthera,Fabaceae,,evergreen,broadleaved
Adonidia merrillii,Adonidia,Arecaceae,,evergreen,palm
Aegle marmelos,Aegle,Rutaceae,,evergreen,broadleaved
Aesculus californica,Aesculus,Sapindaceae,Q540646,deciduous,broadleaved
Aesculus carnea,Aesculus,Sapindaceae,Q163779,deciduous,broadleaved
Aesculus chinensis,Aesculus,Sapindaceae,Q1074027,deciduous,broadleaved
Aesculus flava,Aesculus,Sapindaceae,Q159620,deciduous,broadleaved
Aesculus glabra,Aesculus,Sapindaceae,Q1813339,deciduous,broadleaved
Aesculus hippocastanum,Aesculus,Sapindaceae,Q26899,deciduous,broadleaved
Aesculus indica,Aesculus,Sapindaceae,Q573132,deciduous,broadleaved
Aesculus parviflora,Aesculus,Sapindaceae,Q162440,deciduous,broadleaved
Aesculus pavia,Aesculus,Sapindaceae,Q159049,deciduous,broadleaved
Aesculus rubicunda,Aesculus,Sapindaceae,Q163779,deciduous,broadleaved
Aesculus sylvatica,Aesculus,Sapindaceae,Q150691,deciduous,broadleaved
Aesculus turbinata,Aesculus,Sapindaceae,,deciduous,broadleaved
Aesculus × carnea,Aesculus,Sapindaceae,Q163779,deciduous,broadleaved
Aesculus × hybrida,Aesculus,Sapindaceae,,deciduous,broadleaved
Aesculus × mutabilis,Aesculus,Sapindaceae,Q15545165,deciduous,broadleaved
Aesculus × neglecta,Aesculus,Sapindaceae,Q508718,deciduous,broadleaved
Aesculus × woerlitzensis,Aesculus,Sapindaceae,Q110875652,deciduous,broadleaved
Aextoxicon punctatum,Aextoxicon,Aextoxicaceae,,evergreen,broadleaved
Afrocarpus falcatus,Afrocarpus,Podocarpaceae,,evergreen,needleleaved
Afrocarpus gracilior,Afrocarpus,Podocarpaceae,,evergreen,needleleaved
Agathis australis,Agathis,Araucariaceae,,evergreen,needleleaved
Agathis robusta,Agathis,Araucariaceae,,evergreen,needleleaved
Agave americana,Agave,Asparagaceae,,evergreen,broadleaved
Agonis flexuosa,Agonis,Myrtaceae,,deciduous,broadleaved
Ailanthus altissima,Ailanthus,Simaroubaceae,Q159570,deciduous,broadleaved
Ailanthus glandulosa,Ailanthus,Simaroubaceae,Q159570,deciduous,broadleaved
Ailanthus vilmoriniana,Ailanthus,Simaroubaceae,Q159570,deciduous,broadleaved
Aiphanes horrida,Aiphanes,Arecaceae,,deciduous,palm
Aiphanes simplex,Aiphanes,Arecaceae,,deciduous,palm
Alangium platanifolium,Alangium,Cornaceae,,deciduous,broadleaved
Albizia julibrissin,Albizia,Fabaceae,Q750307,deciduous,broadleaved
Albizia lebbeck,Albizia,Fabaceae,,evergreen,broadleaved
Albizia procera,Albizia,Fabaceae,,deciduous,broadleaved
Albizia saman,Albizia,Fabaceae,,deciduous,broadleaved
Allocasuarina littoralis,Allocasuarina,Casuarinaceae,,deciduous,broadleaved
Allocasuarina torulosa,Allocasuarina,Casuarinaceae,,deciduous,broadleaved
Allocasuarina verticillata,Allocasuarina,Casuarinaceae,Q4732995,deciduous,broadleaved
Alnus acuminata,Alnus,Betulaceae,,deciduous,broadleaved
Alnus alnobetula,Alnus,Betulaceae,Q20720096,deciduous,broadleaved
Alnus cordata,Alnus,Betulaceae,Q1543689,deciduous,broadleaved
Alnus formosana,Alnus,Betulaceae,Q3926595,deciduous,broadleaved
Alnus glutinosa,Alnus,Betulaceae,Q156904,deciduous,broadleaved
Alnus hirsuta,Alnus,Betulaceae,Q4334198,deciduous,broadleaved
Alnus incana,Alnus,Betulaceae,Q157641,deciduous,broadleaved
Alnus japonica,Alnus,Betulaceae,Q1196169,deciduous,broadleaved
Alnus jorullensis,Alnus,Betulaceae,,deciduous,broadleaved
Alnus maritima,Alnus,Betulaceae,Q2589489,deciduous,broadleaved
Alnus nitida,Alnus,Betulaceae,Q15376140,deciduous,broadleaved
Alnus oblongifolia,Alnus,Betulaceae,Q2839181,deciduous,broadleaved
Alnus pendula,Alnus,Betulaceae,Q4334196,deciduous,broadleaved
Alnus rhombifolia,Alnus,Betulaceae,Q2666303,deciduous,broadleaved
Alnus rubra,Alnus,Betulaceae,Q1818806,deciduous,broadleaved
Alnus serrulata,Alnus,Betulaceae,Q3926580,deciduous,broadleaved
Alnus spaethii,Alnus,Betulaceae,Q19850899,deciduous,broadleaved
Alnus subcordata,Alnus,Betulaceae,Q2666298,deciduous,broadleaved
Alnus viridis,Alnus,Betulaceae,Q20720096,deciduous,broadleaved
Alnus × spaethii,Alnus,Betulaceae,Q19850899,deciduous,broadleaved
Aloe marlothii,Aloe,Asphodelaceae,,evergreen,broadleaved
Alstonia scholaris,Alstonia,Apocynaceae,,evergreen,broadleaved
Amelanchier alnifolia,Amelanchier,Rosaceae,Q164158,deciduous,broadleaved
Amelanchier arborea,Amelanchier,Rosaceae,Q2842647,deciduous,broadleaved
Amelanchier canadensis,Amelanchier,Rosaceae,Q159030,deciduous,broadleaved
Amelanchier grandiflora,Amelanchier,Rosaceae,,deciduous,broadleaved
Amelanchier laevis,Amelanchier,Rosaceae,Q163825,deciduous,broadleaved
Amelanchier lamarckii,Amelanchier,Rosaceae,Q161702,deciduous,broadleaved
Amelanchier ovalis,Amelanchier,Rosaceae,Q159560,deciduous,broadleaved
Amelanchier spicata,Amelanchier,Rosaceae,Q159030,deciduous,broadleaved
Amelanchier × grandiflora,Amelanchier,Rosaceae,Q161702,deciduous,broadleaved
Amelanchier × lamarckii,Amelanchier,Rosaceae,Q161702,deciduous,broadleaved
Amomyrtus meli,Amomyrtus,Myrtaceae,,evergreen,broadleaved
Amygdalus persica,Amygdalus,Rosaceae,Q13189,deciduous,broadleaved
Anacardium occidentale,Anacardium,Anacardiaceae,,evergreen,broadleaved
Anadenanthera colubrina,Anadenanthera,Fabaceae,,deciduous,broadleaved
Andira inermis,Andira,Fabaceae,,evergreen,broadleaved
Angophora costata,Angophora,Myrtaceae,,deciduous,broadleaved
Angophora floribunda,Angophora,Myrtaceae,,deciduous,broadleaved
Angophora hispida,Angophora,Myrtaceae,,deciduous,broadleaved
Annona glabra,Annona,Annonaceae,,evergreen,broadleaved
Annona mucosa,Annona,Annonaceae,,evergreen,broadleaved
Annona muricata,Annona,Annonaceae,,evergreen,broadleaved
Annona reticulata,Annona,Annonaceae,,evergreen,broadleaved
Annona senegalensis,Annona,Annonaceae,,evergreen,broadleaved
Annona squamosa,Annona,Annonaceae,,evergreen,broadleaved
Aphananthe aspera,Aphananthe,Cannabaceae,,deciduous,broadleaved
Aralia elata,Aralia,Araliaceae,,deciduous,broadleaved
Aralia spinosa,Aralia,Araliaceae,,deciduous,broadleaved
Araucaria angustifolia,Araucaria,Araucariaceae,,evergreen,needleleaved
Araucaria araucana,Araucaria,Araucariaceae,Q158780,evergreen,needleleaved
Araucaria bidwillii,Araucaria,Araucariaceae,,evergreen,needleleaved
Araucaria columnaris,Araucaria,Araucariaceae,,evergreen,needleleaved
Araucaria cunninghamii,Araucaria,Araucariaceae,,evergreen,needleleaved
Araucaria excelsa,Araucaria,Araucariaceae,,evergreen,needleleaved
Araucaria heterophylla,Araucaria,Araucariaceae,Q161070,evergreen,needleleaved
Arbutus andrachne,Arbutus,Ericaceae,,evergreen,broadleaved
Arbutus canariensis,Arbutus,Ericaceae,,evergreen,broadleaved
Arbutus menziesii,Arbutus,Ericaceae,,evergreen,broadleaved
Arbutus unedo,Arbutus,Ericaceae,Q329046,evergreen,broadleaved
Archontophoenix alexandrae,Archontophoenix,Arecaceae,,evergreen,palm
Archontophoenix cunninghamiana,Archontophoenix,Arecaceae,,evergreen,palm
Areca catechu,Areca,Arecaceae,,evergreen,palm
Areca triandra,Areca,Arecaceae,,deciduous,palm
Aria devoniensis,Aria,Rosaceae,,deciduous,broadleaved
Aria edulis,Aria,Rosaceae,Q41068995,deciduous,broadleaved
Aria latifolia,Aria,Rosaceae,,deciduous,broadleaved
Aria torminalis,Aria,Rosaceae,Q139936561,deciduous,broadleaved
Aristotelia chilensis,Aristotelia,Elaeocarpaceae,,evergreen,broadleaved
Aronia arbutifolia,Aronia,Rosaceae,,deciduous,broadleaved
Aronia melanocarpa,Aronia,Rosaceae,,deciduous,broadleaved
Artocarpus altilis,Artocarpus,Moraceae,Q14677,evergreen,broadleaved
Artocarpus heterophyllus,Artocarpus,Moraceae,,evergreen,broadleaved
Artocarpus lamellosus,Artocarpus,Moraceae,,deciduous,broadleaved
Artocarpus nitidus,Artocarpus,Moraceae,,deciduous,broadleaved
Asimina triloba,Asimina,Annonaceae,,deciduous,broadleaved
Aspidosperma polyneuron,Aspidosperma,Apocynaceae,,deciduous,broadleaved
Aspidosperma spruceanum,Aspidosperma,Apocynaceae,,evergreen,broadleaved
Astronium graveolens,Astronium,Anacardiaceae,,evergreen,broadleaved
Astronium urundeuva,Astronium,Anacardiaceae,,deciduous,broadleaved
Attalea amygdalina,Attalea,Arecaceae,,evergreen,palm
Aucuba japonica,Aucuba,Garryaceae,,deciduous,broadleaved
Austrocedrus chilensis,Austrocedrus,Cupressaceae,,evergreen,needleleaved
Averrhoa bilimbi,Averrhoa,Oxalidaceae,,evergreen,broadleaved
Averrhoa carambola,Averrhoa,Oxalidaceae,,evergreen,broadleaved
Azadirachta indica,Azadirachta,Meliaceae,,evergreen,broadleaved
Azalea japonica,Azalea,Ericaceae,,evergreen,broadleaved
Azara lanceolata,Azara,Salicaceae,,evergreen,broadleaved
Azara serrata,Azara,Salicaceae,,evergreen,broadleaved
Bactris gasipaes,Bactris,Arecaceae,,evergreen,palm
Banksia integrifolia,Banksia,Proteaceae,,evergreen,broadleaved
Banksia marginata,Banksia,Proteaceae,,deciduous,broadleaved
Banksia serrata,Banksia,Proteaceae,,deciduous,broadleaved
Barringtonia racemosa,Barringtonia,Lecythidaceae,Q2718437,evergreen,broadleaved
Bauhinia forficata,Bauhinia,Fabaceae,,evergreen,broadleaved
Bauhinia kalbreyeri,Bauhinia,Fabaceae,,evergreen,broadleaved
Bauhinia picta,Bauhinia,Fabaceae,,evergreen,broadleaved
Bauhinia purpurea,Bauhinia,Fabaceae,,deciduous,broadleaved
Bauhinia racemosa,Bauhinia,Fabaceae,,deciduous,broadleaved
Bauhinia variegata,Bauhinia,Fabaceae,,deciduous,broadleaved
Beaucarnea recurvata,Beaucarnea,Asparagaceae,,evergreen,broadleaved
Beilschmiedia miersii,Beilschmiedia,Lauraceae,,evergreen,broadleaved
Berberis aquifolium,Berberis,Berberidaceae,,deciduous,broadleaved
Berberis thunbergii,Berberis,Berberidaceae,,deciduous,broadleaved
Betula alba,Betula,Betulaceae,Q157624,deciduous,broadleaved
Betula albosinensis,Betula,Betulaceae,Q930814,deciduous,broadleaved
Betula alleghaniensis,Betula,Betulaceae,Q1499241,deciduous,broadleaved
Betula costata,Betula,Betulaceae,,deciduous,broadleaved
Betula davurica,Betula,Betulaceae,,deciduous,broadleaved
Betula delavayi,Betula,Betulaceae,Q4085296,deciduous,broadleaved
Betula ermanii,Betula,Betulaceae,Q163544,deciduous,broadleaved
Betula glandulosa,Betula,Betulaceae,,deciduous,broadleaved
Betula jacquemontii,Betula,Betulaceae,Q930814,deciduous,broadleaved
Betula lenta,Betula,Betulaceae,Q227763,deciduous,broadleaved
Betula maximowicziana,Betula,Betulaceae,,deciduous,broadleaved
Betula medwediewii,Betula,Betulaceae,,deciduous,broadleaved
Betula nana,Betula,Betulaceae,Q157628,deciduous,broadleaved
Betula neoalaskana,Betula,Betulaceae,Q156895,deciduous,broadleaved
Betula nigra,Betula,Betulaceae,Q1510231,deciduous,broadleaved
Betula papyrifera,Betula,Betulaceae,Q76971,deciduous,broadleaved
Betula pendula,Betula,Betulaceae,Q156895,deciduous,broadleaved
Betula platyphylla,Betula,Betulaceae,Q156895,deciduous,broadleaved
Betula populifolia,Betula,Betulaceae,Q1543680,deciduous,broadleaved
Betula pubescens,Betula,Betulaceae,Q157624,deciduous,broadleaved
Betula utilis,Betula,Betulaceae,Q930814,deciduous,broadleaved
Betula verrucosa,Betula,Betulaceae,Q156895,deciduous,broadleaved
Bischofia javanica,Bischofia,Phyllanthaceae,,evergreen,broadleaved
Bismarckia nobilis,Bismarckia,Arecaceae,,evergreen,palm
Bixa orellana,Bixa,Bixaceae,,evergreen,broadleaved
Blighia sapida,Blighia,Sapindaceae,,evergreen,broadleaved
Bombax ceiba,Bombax,Malvaceae,,deciduous,broadleaved
Borassus flabellifer,Borassus,Arecaceae,,evergreen,palm
Borkhausenia intermedia,Borkhausenia,Rosaceae,Q139936592,deciduous,broadleaved
Bougainvillea glabra,Bougainvillea,Nyctaginaceae,,deciduous,broadleaved
Bougainvillea spectabilis,Bougainvillea,Nyctaginaceae,,deciduous,broadleaved
Brachychiton acerifolius,Brachychiton,Malvaceae,,deciduous,broadleaved
Brachychiton discolor,Brachychiton,Malvaceae,,deciduous,broadleaved
Brachychiton populneus,Brachychiton,Malvaceae,Q947016,evergreen,broadleaved
Brachychiton rupestris,Brachychiton,Malvaceae,,deciduous,broadleaved
Brahea aculeata,Brahea,Arecaceae,,evergreen,palm
Brahea armata,Brahea,Arecaceae,,evergreen,palm
Brahea brandegeei,Brahea,Arecaceae,,evergreen,palm
Brahea edulis,Brahea,Arecaceae,,evergreen,palm
Broussonetia papyrifera,Broussonetia,Moraceae,,deciduous,broadleaved
Brownea ariza,Brownea,Fabaceae,,evergreen,broadleaved
Brownea grandiceps,Brownea,Fabaceae,,deciduous,broadleaved
Brugmansia suaveolens,Brugmansia,Solanaceae,,evergreen,broadleaved
Brunfelsia pauciflora,Brunfelsia,Solanaceae,,deciduous,broadleaved
Buchenavia capitata,Buchenavia,Combretaceae,,evergreen,broadleaved
Buckinghamia celsissima,Buckinghamia,Proteaceae,,deciduous,broadleaved
Buddleja davidii,Buddleja,Scrophulariaceae,,deciduous,broadleaved
Buddleja globosa,Buddleja,Scrophulariaceae,,evergreen,broadleaved
Bulnesia arborea,Bulnesia,Zygophyllaceae,,deciduous,broadleaved
Bursaria lasiophylla,Bursaria,Pittosporaceae,,deciduous,broadleaved
Bursaria spinosa,Bursaria,Pittosporaceae,,deciduous,broadleaved
Bursera simaruba,Bursera,Burseraceae,,deciduous,broadleaved
Butia capitata,Butia,Arecaceae,,evergreen,palm
Butia odorata,Butia,Arecaceae,,evergreen,palm
Butia yatay,Butia,Arecaceae,,evergreen,palm
Buxus balearica,Buxus,Buxaceae,,evergreen,broadleaved
Buxus sempervirens,Buxus,Buxaceae,Q27344,evergreen,broadleaved
Byrsonima crassifolia,Byrsonima,Malpighiaceae,,evergreen,broadleaved
Caesalpinia ebano,Caesalpinia,Fabaceae,,evergreen,broadleaved
Caesalpinia pluviosa,Caesalpinia,Fabaceae,,deciduous,broadleaved
Caesalpinia pulcherrima,Caesalpinia,Fabaceae,,evergreen,broadleaved
Calliandra haematocephala,Calliandra,Fabaceae,,evergreen,broadleaved
Calliandra pittieri,Calliandra,Fabaceae,,evergreen,broadleaved
Callistemon citrinus,Callistemon,Myrtaceae,,evergreen,broadleaved
Callistemon linearis,Callistemon,Myrtaceae,,deciduous,broadleaved
Callistemon pallidus,Callistemon,Myrtaceae,,deciduous,broadleaved
Callistemon phoeniceus,Callistemon,Myrtaceae,,deciduous,broadleaved
Callistemon salignus,Callistemon,Myrtaceae,,deciduous,broadleaved
Callistemon speciosus,Callistemon,Myrtaceae,,evergreen,broadleaved
Callistemon viminalis,Callistemon,Myrtaceae,Q22113637,deciduous,broadleaved
Callitris columellaris,Callitris,Cupressaceae,,deciduous,needleleaved
Callitris glauca,Callitris,Cupressaceae,,deciduous,needleleaved
Callitris preissii,Callitris,Cupressaceae,Q2715203,evergreen,needleleaved
Callitris rhomboidea,Callitris,Cupressaceae,,deciduous,needleleaved
Callitropsis nootkatensis,Callitropsis,Cupressaceae,Q23707222,evergreen,needleleaved
Calocedrus decurrens,Calocedrus,Cupressaceae,,evergreen,needleleaved
Calophyllum brasiliense,Calophyllum,Calophyllaceae,,deciduous,broadleaved
Calophyllum inophyllum,Calophyllum,Calophyllaceae,,evergreen,broadleaved
Calycanthus praecox,Calycanthus,Calycanthaceae,,deciduous,broadleaved
Camellia japonica,Camellia,Theaceae,,evergreen,broadleaved
Camellia sasanqua,Camellia,Theaceae,,evergreen,broadleaved
Camphora glandulifera,Camphora,Lauraceae,,evergreen,broadleaved
Camphora officinarum,Camphora,Lauraceae,,evergreen,broadleaved
Cananga odorata,Cananga,Annonaceae,,evergreen,broadleaved
Caragana arborescens,Caragana,Fabaceae,,deciduous,broadleaved
Carica papaya,Carica,Caricaceae,,deciduous,broadleaved
Cariniana legalis,Cariniana,Lecythidaceae,,evergreen,broadleaved
Cariniana pyriformis,Cariniana,Lecythidaceae,,evergreen,broadleaved
Carnegiea gigantea,Carnegiea,Cactaceae,,deciduous,broadleaved
Carpinus betulus,Carpinus,Betulaceae,Q158776,deciduous,broadleaved
Carpinus caroliniana,Carpinus,Betulaceae,Q468664,deciduous,broadleaved
Carpinus japonica,Carpinus,Betulaceae,Q161435,deciduous,broadleaved
Carpinus orientalis,Carpinus,Betulaceae,Q1088271,deciduous,broadleaved
Carpinus turczaninovii,Carpinus,Betulaceae,Q936355,deciduous,broadleaved
Carya alba,Carya,Juglandaceae,,deciduous,broadleaved
Carya cordiformis,Carya,Juglandaceae,Q879016,deciduous,broadleaved
Carya glabra,Carya,Juglandaceae,,deciduous,broadleaved
Carya illinoinensis,Carya,Juglandaceae,Q333877,deciduous,broadleaved
Carya laciniosa,Carya,Juglandaceae,Q4215101,deciduous,broadleaved
Carya ovata,Carya,Juglandaceae,Q2601238,deciduous,broadleaved
Carya tomentosa,Carya,Juglandaceae,,deciduous,broadleaved
Caryota mitis,Caryota,Arecaceae,,deciduous,palm
Caryota urens,Caryota,Arecaceae,,evergreen,palm
Cascabela thevetia,Cascabela,Apocynaceae,,evergreen,broadleaved
Casimiroa edulis,Casimiroa,Rutaceae,,evergreen,broadleaved
Cassia fistula,Cassia,Fabaceae,,evergreen,broadleaved
Cassia grandis,Cassia,Fabaceae,,evergreen,broadleaved
Cassia javanica,Cassia,Fabaceae,,deciduous,broadleaved
Cassia leptophylla,Cassia,Fabaceae,,deciduous,broadleaved
Cassia siamea,Cassia,Fabaceae,,evergreen,broadleaved
Castanea crenata,Castanea,Fagaceae,Q717827,deciduous,broadleaved
Castanea dentata,Castanea,Fagaceae,Q468698,deciduous,broadleaved
Castanea mollissima,Castanea,Fagaceae,Q699584,deciduous,broadleaved
Castanea ozarkensis,Castanea,Fagaceae,Q5756707,deciduous,broadleaved
Castanea pumila,Castanea,Fagaceae,Q3662068,deciduous,broadleaved
Castanea sativa,Castanea,Fagaceae,Q22699,deciduous,broadleaved
